id,name,location,province,established,capacity
ba-ria,Bà Rịa,Vũng Tàu,Bà Rịa - Vũng Tàu,2001,10000
go-dau,Gò Đậu,Thủ Dầu Một,Bình Dương,1975,18000
binh-phuoc,Bình Phước,Đồng Xoài,Bình Phước,,10000
phan-thiet,Phan Thiết,Phan Thiết,Bình Thuận,2013,20000
quy-nhon,Quy Nhơn,Quy Nhơn,Bình Định,1975,20000
ben-tre,Bến Tre,Bến Tre,Bến Tre,2014,10000
ca-mau,Cà Mau,Cà Mau,Cà Mau,2006,10000
can-tho,Cần Thơ,Cần Thơ,Cần Thơ,1983,30000
pleiku,Pleiku,Pleiku,Gia Lai,2008,12000
tu-do,Tự Do,Huế,Huế,1936,25000
ha-nam,Hà Nam,Hà Nam,Hà Nam,,25000
hang-day,Hàng Đẫy,Hà Nội,Hà Nội,1934,22500
my-dinh,Mỹ Đình,Hà Nội,Hà Nội,2003,40192
ha-tinh,Hà Tĩnh,Hà Tĩnh,Hà Tĩnh,1991,15000
lach-tray,Lạch Tray,Hải Phòng,Hải Phòng,1958,30000
quan-khu-7,Quân khu 7,Hồ Chí Minh,Hồ Chí Minh,2007,25000
thong-nhat,Thống Nhất,Hồ Chí Minh,Hồ Chí Minh,1931,25000
19-thang-8,19 tháng 8,Nha Trang,Khánh Hoà,,25000
rach-gia,Rạch Giá,Rạch Giá,Kiên Giang,2012,10000
kon-tum,Kon Tum,Kon Tum,Kon Tum,2013,11000
long-an,Long An,Tân An,Long An,2000,20000
lam-vien,Lâm Viên,Đà Lạt,Lâm Đồng,1985,25000
thien-truong,Thiên Trường,Nam Định,Nam Định,2003,30000
vinh,Vinh,Vinh,Nghệ An,1999,18000
ninh-binh,Ninh Bình,Ninh Bình,Ninh Bình,1991,22000
viet-tri,Việt Trì,Việt Trì,Phú Thọ,1960,18000
phu-yen,Phú Yên,Tuy Hòa,Phú Yên,1998,10000
tam-ky,Tam Kỳ,Tam Kỳ,Quảng Nam,1997,15000
cam-pha,Cẩm Phả,Cẩm Phả,Quảng Ninh,2010,16000
thanh-hoa,Thanh Hóa,Thanh Hóa,Thanh Hóa,,14000
tay-ninh,Tây Ninh,Tây Ninh,Tây Ninh,2009,16000
vinh-long,Vĩnh Long,Vĩnh Long,Vĩnh Long,1995,10000
hoa-xuan,Hoà Xuân,Đà Nẵng,Đà Nẵng,2016,20500
chi-lang,Chi Lăng,Đà Nẵng,Đà Nẵng,1954,28000
buon-ma-thuot,Buôn Ma Thuột,Đắk Lắk,Đắk Lắk,2000,25000
dong-nai,Đồng Nai,Đồng Nai,Đồng Nai,1996,25000
cao-lanh,Cao Lãnh,Cao Lãnh,Đồng Tháp,1996,23000